reward,viol
-326.42338689696714,22
-357.119869550242,23
-210.6810960172536,6
-201.35748894027475,5
-371.9668173272214,26
-220.17774596888142,9
-301.00017363351117,16
-221.16587617259057,5
-289.67064089733117,18
-253.1926211994507,15
-197.1874198214608,2
-239.7100330132154,9
-323.2043381339556,22
-234.92053518343852,9
-213.33418477450624,8
-312.08875353980824,20
-285.4125598079958,14
-156.78445523226648,1
-275.60817698176004,15
-175.23297556898663,1
-283.6560693095282,16
-194.8965754788655,5
-286.2756095644333,17
-198.8859397087515,5
-292.13999180007767,17
-164.71301730857783,0
-178.582482621374,1
-239.00118840661705,10
-218.3399168847817,7
-369.01561990484095,28
-262.761667029331,13
-316.8067054317063,16
-199.37918181509698,4
-209.85246297723262,5
-296.6182781424997,17
-245.84387677515133,13
-207.6877520923922,6
-230.9816888897592,9
-287.3874304468893,15
-257.31292661959765,14
-290.56986202666667,16
-314.7037000205608,19
-257.0938631330865,12
-232.1732916499359,9
-218.42119165842536,7
-286.6506505368007,13
-303.8077179266026,17
-344.5752109385762,23
-266.91816955371695,13
-229.1406956416019,6
-268.25221542393274,13
-187.41485733958717,2
-272.4741189332564,14
-276.66595473325646,14
-295.74922767170466,15
-248.7738209652324,12
-308.03408855659933,18
-236.74848883736294,11
-242.06033133382815,9
-225.50476426471846,9
-165.41926559228116,2
-283.5984572864016,17
-258.38984475481374,12
-267.3734656199106,12
-268.07358755531754,14
-178.91005062973218,2
-178.25224479496345,2
-202.13569350737689,5
-384.2693437053493,26
-219.96755376350805,8
-171.89190487117716,1
-200.38166951939627,4
-423.1960061269469,33
-258.1958494455457,11
-188.91173797433805,5
-524.2217704636017,45
-208.4674285118955,4
-214.2882825974248,9
-217.00724074442704,7
-193.62033628143323,5
-271.47354488922707,14
-288.966243644081,17
-211.95408763184554,7
-207.86491409535756,4
-260.0312997219183,10
-202.93244860619976,3
-199.41001737160022,6
-308.0136900766294,18
-242.70555566670018,9
-203.1442709353447,5
-320.52806235478226,17
-219.88094636582963,6
-267.53018599883717,13
-348.8299711021152,20
-162.10986588872834,1
-255.8410367719976,11
-258.334805396956,12
-200.3444361757683,2
