f1_grid,f2_user,f3_station
0.8086310753008306,51.170870276372185,-1.8527778947006472
0.9638779058335668,111.60717843819,-2.0069673509762316
0.8102990596589724,21.192458551813036,-1.9129174724071734
0.6908825713163507,0.797619068919633,-1.7098373270173468
0.800419089305522,1.1342429659578532,-1.8139694540638518
0.66848376538297,0.5412471642401925,-1.5219770887043724
0.7962443565967493,31.17538026438426,-1.8400702245895724
0.6400075462500818,10.547493537530487,-1.577412851559951
0.7429727575011736,41.01007267241699,-1.8356778900854362
0.6493660733645243,10.520592607198065,-1.6189881136335227
0.6335668256144592,10.487525420571993,-1.5331827040073414
0.6538697588426574,0.46955966858121106,-1.4917697269750283
0.841909056927769,51.29474189893666,-1.924321020703952
0.6566020531669091,0.6593285494136472,-1.6245862869066385
0.6310087682052244,10.574948050712978,-1.6181181074674222
0.6261178072732259,30.478873604976588,-1.5030781859563824
0.664916210438386,10.647132362490071,-1.652968864362955
0.6289392431179636,30.492770714188033,-1.5593779766294662
0.6275286202893806,30.49244344646416,-1.543811715543935
0.7223266340237847,0.9062626328958133,-1.7936696478608405
0.626801268163722,10.454680048852834,-1.5303747011518878
0.6277645839312053,0.3650994781607277,-1.391425718851988
0.6428549567779215,0.5412852383047422,-1.5567011821424352
0.6566986620962748,0.5600667150369145,-1.6444610953890386
0.6809224183428007,0.7521974979957925,-1.695711470839091
0.6289489923782592,30.41683417971512,-1.5362015230486394
0.6251640595428575,10.399595062921819,-1.4606369857089623
0.6326190019875492,0.43659799225289614,-1.4641956905438198
0.7020094260441202,0.7972118650266724,-1.7504346488406521
0.6788402422861239,10.792729422126168,-1.7386986299968419
0.7678473357332827,11.025604866581393,-1.819953018258823
0.6114779753902512,20.333535072027463,-1.42047415888565
0.616783410236556,0.38065606577866423,-1.4573395304947556
0.6403250634596194,0.5111852704801854,-1.4969612582223633
0.6179071528879406,20.434666139434064,-1.4722661195100888
0.6823399176942583,0.8067392160093256,-1.7323910885569145
0.6865964100230012,0.7472751453353808,-1.648004615764385
