method,metric,mean,std
Uncoordinated,peak_kw,3899.5074999999997,11.524483448293823
Uncoordinated,pv_diff_kw,2190.6074999999996,11.524483448293823
Uncoordinated,load_var,350076.39297688793,2497.891402408836
Uncoordinated,loss_kwh,1911.7886521169744,6.432796110863308
Uncoordinated,v_dev_pu_h,0.14993030252343406,0.0024068277221613835
Uncoordinated,v_min_pu,0.9154931222765661,0.000542838782359468
Uncoordinated,user_cost_total,2159.3376000000003,153.78905563035028
Uncoordinated,user_cost_mean,13.495859999999999,0.961181597689689
Uncoordinated,station_rev,547.6295999999999,39.18309679313251
Uncoordinated,v2g_energy_kwh,0.0,0.0
Uncoordinated,charge_energy_kwh,2021.95,139.6583330847107
Uncoordinated,violations,0.0,0.0
Uncoordinated,meet_rate,1.0,0.0
Uncoordinated,network_cost,4686.072894081402,28.42685283201743
TOU Response,peak_kw,3583.475,8.573214099741124
TOU Response,pv_diff_kw,1874.5750000000003,8.573214099741124
TOU Response,load_var,213589.7600606978,2590.7074040913935
TOU Response,loss_kwh,1702.9327957567511,6.534408496992174
TOU Response,v_dev_pu_h,0.10247479094149048,0.00210910366192417
TOU Response,v_min_pu,0.9228367812474263,0.0007419302157447513
TOU Response,user_cost_total,-1085.0017805237894,34.51303486527858
TOU Response,user_cost_mean,-6.781261128273684,0.215706467907991
TOU Response,station_rev,1335.1510926350502,22.006275669724477
TOU Response,v2g_energy_kwh,4192.767725041017,64.66672805437372
TOU Response,charge_energy_kwh,2242.275,69.97429215433336
TOU Response,violations,0.0,0.0
TOU Response,meet_rate,1.0,0.0
TOU Response,network_cost,3191.7159339761633,23.020936296109394
MOPSO,peak_kw,3877.3421866674735,73.571687129653
MOPSO,pv_diff_kw,2145.85098046257,74.79324889564333
MOPSO,load_var,310969.835360702,6286.0192467730685
MOPSO,loss_kwh,1900.6573037739413,7.444993540880103
MOPSO,v_dev_pu_h,0.14155975424797093,0.0021505431877944315
MOPSO,v_min_pu,0.9136303950156742,0.0024130913554972653
MOPSO,user_cost_total,2035.2793656515544,160.59259858964631
MOPSO,user_cost_mean,12.720496035322213,1.0037037411852896
MOPSO,station_rev,514.025129255517,41.25501254868273
MOPSO,v2g_energy_kwh,0.0,0.0
MOPSO,charge_energy_kwh,1968.2617771437012,137.65828883550986
MOPSO,violations,0.0,0.0
MOPSO,meet_rate,1.0,0.0
MOPSO,network_cost,4288.1058819468635,65.85636681614645
PPO (ours),peak_kw,3782.719058852642,8.426963563851912
PPO (ours),pv_diff_kw,2012.476741988699,9.154135026664097
PPO (ours),load_var,299043.9156708889,2515.312926408334
PPO (ours),loss_kwh,1856.724879862159,2.95501857688009
PPO (ours),v_dev_pu_h,0.12738305705363545,0.0006684472125252014
PPO (ours),v_min_pu,0.9185649128462761,0.00014734514687082624
PPO (ours),user_cost_total,1264.1895785070747,82.95547053549497
PPO (ours),user_cost_mean,7.901184865669215,0.5184716908468432
PPO (ours),station_rev,319.1386502015561,20.93411586556268
PPO (ours),v2g_energy_kwh,0.0,0.0
PPO (ours),charge_energy_kwh,1226.7025233469008,82.83537376711676
PPO (ours),violations,0.0,0.0
PPO (ours),meet_rate,1.0,0.0
PPO (ours),network_cost,4141.608582223427,24.921794714086946
